song_name,name,song_id,popularity
Skald Au Satans Sol - Studio,Darkthrone,7Czf5bOiY3WpghLvxuD6Zs,39
Kathaarian Life Code - Studio,Darkthrone,5gTMAY6YiojUKbOjhO1JeJ,41
Here To Stay,Korn,66LT15XEqCaWiMG44NGQRE,62
Hello,Martin Solveig,2kKaIe9WKOD01cdIrEnEOk,19
Hello,Dragonette,2kKaIe9WKOD01cdIrEnEOk,19
Beam,Payday,1IIw5oVR1xE4bzdl4JgGsc,0
Sing to the Singer,Danielson Famile,6o9ZQLN7K1oSN1CWOqJ75N,0
How Many Tears to Nurture a Rose?,Cradle Of Filth,56uFi2FNOiPTwwMTmnQb9b,41
Alone,Confessor,6zYhNUNHSP17I82F22Hp4c,12
Hawk as Weapon,Conan,35tPdAU04Ivcv87rsCDYbw,35
Lorelei,Cocteau Twins,1ZnXuijpwEBjhNxpEnb8WH,59
Have You Ever Seen The Rain,Creedence Clearwater Revival,2LawezPeJhN4AWuSB0GtAU,90
Fortunate Son,Creedence Clearwater Revival,4BP3uh0hFLFRb5cjsgLqDh,89
New Perfume,Crashland,3dL5c8hr6FXvZSVTSUzGP9,6
Albatross,Corrosion Of Conformity,3CtKSQyQPdzA2u7n9tjJw2,51
Clean My Wounds,Corrosion Of Conformity,6g48vpikqU2atsrDXdGzKo,56
Legions Arise,Cirith Ungol,4o9vmyUDxJCwfBESTAZQLs,23
Let's Dance,Chris Montez,7oa8DyjorvXsC7zBTtPDkr,30
Surrender,Cheap Trick,2ccUQnjjNWT0rsNnsBpsCA,71
Sincerely,The Moonglows,6hOD1yxLeWllJ2TiwbuwQg,48
Cocoa Butter Kisses,Chance the Rapper,0aMHIW1lqrulVCx0LLlr6a,71
Cocoa Butter Kisses,VIC MENSA,0aMHIW1lqrulVCx0LLlr6a,71
Cocoa Butter Kisses,Twista,0aMHIW1lqrulVCx0LLlr6a,71
Incarnated Solvent Abuse,Carcass,4ZEdpvr3fPgxD052wyUB2o,27
Only Happy When It Rains - 2015 - Remaster,Garbage,6p6Xq0t9XGkVg04cXWdx8v,20
Goin' to Acapulco,Jim James,5JeJonCBmin6EWS98Q9i1X,42
Goin' to Acapulco,Calexico,5JeJonCBmin6EWS98Q9i1X,42
Chasing Pavements,Adele,4YoGMmUJJ9dZpQ2CLOmPl2,67
Rolling in the Deep,Adele,4OSBTYWVwsQhGLF9NHvIbR,85
Skyfall,Adele,6VObnIkLVruX4UVyxWhlqm,89
Swallowed - Remastered,Bush,2EYnvZoSEkwiC8ynBcjLyi,57
Ghost Hardware,Burial,77JTZFqpdShRe5ljKirsxq,44
New York City Serenade,Bruce Springsteen,3FYbqh8NmoLC8c1mMJ05mM,40
Point Blank,Bruce Springsteen,6yMh8Xi6hhSNXtPe2e7tlj,44
Keep The Faith,Bon Jovi,5EWtBjCLy21d1hY9zdaEe8,61
Livin' On A Prayer,Bon Jovi,37ZJ0p5Jm13JPevGcx4SkF,89
You Give Love A Bad Name,Bon Jovi,0rmGAIH9LNJewFw7nKzZnc,86
All The Small Things,blink-182,2m1hi0nfMR9vdGC8UcrnwU,86
Love Sensation,Loleatta Holloway,4OmDRl8nlE1IkWkwS82nY3,11
Irreplaceable,Beyoncé,3qim3nNFg4aSTLZDLAFXhx,65
Halo,Beyoncé,2CvOqDpQIMw69cCzWqr5yr,78
Sexx Laws,Beck,1ELY3KTgI83N1k0xXqabMe,49
Eleanor Rigby,The Beatles,6EOKwO6WaLal58MSsi6U4W,66
Gila,Beach House,2r3XoShDJnYhatcpfobVmC,51
Good Luck,Basement Jaxx,1loMHOGpWEgh1cFvpoSZf0,49
Good Luck,Lisa Kekaula,1loMHOGpWEgh1cFvpoSZf0,49
"Honey Please, Can't Ya See",Barry White,3tky3v47OmGrk5NGazSuOC,30
Slaughter Of The Soul,At The Gates,2Vy4z1ZUN7RvN7syWI2yef,55
The Alpha and the Occident - Rising from Atlantean Tombs,Atlantean Kodex,41IAfjfZXF8nhqe1AHAGgc,32
From Heaven We Fall,Arkangel,3mKaiYZLeOYJT1u8hoIYMw,0
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,5K09WxKdlkroDyEVyOSySy,73
Sewerages Of The Mind,Anata,2kBDC3zNBwRLuWEsoQwRPy,8
The Great Juggler,Anata,5QgqfutC5Y0fMox1175GbR,17
Slain Upon His Altar,Anata,5RllnyNx71XtlFgsmHhY7r,8
Somewhere in My Heart,Aztec Camera,7kJXjcl5lk7g7fNQAVVpkl,57
Farewell Evolution,Satan,1zuqP3sq15um2ZPOVskZwA,0
Death Knell for a King,Satan,58KPGS8ZtjD4NH80UUkjws,32
Death Of A King,Amorphis,6sY3OkGPn5la0SMxVAPOcK,41
Drop Dead,Siege,7yG6XqTFKe2fLTOoAm2ek1,30
Someone Broke This Heart of Mine,Junior Parker,1nAib0m89PRTuvauNATdOU,3
